Feature	Description	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Barrett's Esophagus_1	Barrett's Esophagus_2	Barrett's Esophagus_3	Barrett's Esophagus_4	Barrett's Esophagus_5	Barrett's Esophagus_6	Barrett's Esophagus_7	Barrett's Esophagus_8	EAC_1	EAC_2	EAC_3	EAC_4	EAC_5	EAC_6	EAC_7	EAC_8
A1CF	NA	5.900171289	6.11368218	6.211202305	6.631870016	6.229496711	5.946990057	5.87183606	5.259056653	6.091083612	6.403574198	6.326686002	5.782285536	5.53772789	5.966146739	6.67063957	6.431814057	6.029482614	7.451067454	6.381477551	5.270432163	5.532994154	5.394990254	5.988209254	6.67215952
A2M	NA	6.962054052	7.227807731	8.299957156	6.943604932	8.427246602	8.230204212	7.428154925	9.151311976	9.156834104	8.945632363	7.763998722	8.87416809	8.980172206	8.440571293	7.702420603	8.385123587	8.25421674	8.10461283	9.011084231	8.353520656	8.655109954	9.34979792	8.650919565	8.544010375
A4GALT	NA	4.516338972	4.909709376	2.93385687	4.487512143	4.881285622	4.195697056	4.333361463	5.173887288	4.395682961	4.312140507	4.409155302	5.670914871	5.038250461	4.622027303	4.575741375	4.599152114	4.857484115	5.029129877	4.194189897	4.30676415	5.019925341	4.905274778	3.18221184	4.102643365
A4GNT	NA	5.063860055	4.71492105	5.303304908	6.106577354	4.615120517	5.151555985	4.995860009	4.772378105	5.483551345	5.285738584	5.549465114	5.243333058	5.076423035	6.580916491	5.132852927	5.96819592	6.124902185	4.680277658	5.320078858	5.180659323	5.247550249	4.505349851	5.592105757	5.18961795
AAAS	NA	4.631812117	4.59511985	5.338499156	4.388257184	5.361761539	5.090062428	5.016617366	4.576770711	5.170483995	4.097672352	5.223054882	4.239886868	5.066385309	4.995860009	4.771531723	5.05815481	4.12552018	5.324959297	5.259056653	3.871201011	5.219274159	5.049856007	4.956531035	5.038898759
AACS	NA	7.421775794	7.48543549	7.77140444	7.782473735	6.99090086	7.771109261	7.099366883	5.915123314	6.474045005	6.222774661	7.171810421	7.104965448	6.673171538	7.493094507	7.111593679	7.164488333	6.631738238	6.632660322	6.19725846	6.590575736	7.111675235	6.683986532	5.981161654	6.074656138
AADAC	NA	4.135166557	5.278624733	3.18221184	3.218875825	3.478158423	5.108971195	2.397895273	1.335001067	6.53654666	6.333279628	4.498697941	2.884800713	2.867898902	6.246106765	6.934494576	6.297293465	5.649326289	3.391147046	4.505349851	4.911919321	2.747270914	2.219203484	5.753841675	5.953503041
AAGAB	NA	4.464763991	4.372140477	4.557341316	4.405550422	4.404637286	4.393675046	4.763681995	3.922257541	5.666272511	4.976483977	4.850599998	4.613163944	4.512665202	4.552114787	4.176508209	4.810217374	6.678024004	5.966957915	4.984188006	4.906321145	4.441986455	4.244347473	5.467981444	4.803351422
AAK1	NA	4.236217526	4.113213195	3.859506035	4.544739161	3.935663016	4.221401046	4.297644554	4.392742554	3.710853858	4.258901584	4.21055453	3.930126836	4.418027193	3.998480364	4.132268588	3.98084315	4.465797236	4.33787478	3.904006583	4.357039381	3.88022353	4.222548378	4.158021083	3.759274078
AAMP	NA	6.181878274	6.711131937	6.522680861	7.110369539	6.720461381	6.562302841	6.758094504	6.304083105	6.712470056	6.554218264	6.491026979	6.987859523	6.822741905	6.894973945	6.405393734	6.929027414	7.002064958	7.261014396	6.7597192	6.949281026	6.803505258	6.449680221	7.307202315	6.709182382
AANAT	NA	1.504077397	1.62924054	1.931521412	2.602689685	2.549445171	1.85629799	2.128231706	2.397895273	1.504077397	1.945910149	1.840549633	2.397895273	2.646174797	2.091864062	2.406945108	2.128231706	2.00148	2.406945108	1.686398954	1.280933845	1.808288771	1.902107526	4.096009842	2.028148247
AARS	NA	7.152268856	6.96404109	7.369222577	7.466055917	7.303170051	7.115988218	6.876574161	7.429164696	7.146693436	7.219715244	7.19112808	7.273439517	7.376946078	7.343426229	6.895176497	7.187959462	7.421715983	7.190525307	7.309747698	8.33660613	7.307403502	7.585077909	7.550293142	7.273647612
AARSD1	NA	5.344723739	5.429345629	6.316984165	5.998440161	5.7661311	5.276582874	5.199601394	6.156767099	5.582744146	5.465525286	5.607271574	6.067035734	5.857075644	5.942011663	5.473949935	5.885826215	6.033326001	6.154008476	5.788736181	6.039063526	5.893024474	6.16057421	6.029963846	5.847594177
AASDHPPT	NA	6.782606218	6.537376667	5.856162472	5.334858715	5.855693247	6.457230826	6.461041383	6.356850863	6.379952758	5.902837836	6.360734444	5.884634281	6.318178561	5.760661057	6.246461561	5.890222211	6.279972312	5.684876559	6.412562858	6.61316445	5.899722731	5.624702371	5.993026013	5.969998531
AASS	NA	3.401530604	3.434013218	1.398030539	1.700098441	1.573152566	1.914972447	4.276040728	3.945785035	2.913398125	2.171902711	2.792123953	1.630392614	3.607020365	2.497083551	3.403641399	1.791759469	2.22367305	3.449876674	3.081973092	2.748235631	3.051413507	2.094827371	4.322165721	3.647786119
AATF	NA	6.626850191	6.701345927	6.568218351	6.505036397	6.884793667	6.633713092	6.469095266	6.656983561	7.328699958	6.840439572	6.825460036	6.473118794	6.198885138	6.745589228	6.503988728	6.88857246	6.902541712	7.085734086	7.035708643	6.811904953	6.357668941	7.241151361	6.968474014	6.972418792
AATK	NA	5.180659323	4.772378105	6.151029117	5.825409963	6.494358801	5.330300412	5.172754144	6.31209772	6.025382765	6.390743896	6.110136077	6.153583397	6.008321664	5.383117968	6.170447203	6.245331271	6.925791641	6.726952568	5.857361563	5.753841675	6.229890722	6.056784013	6.098074282	6.391246872
ABAT	NA	6.114560408	5.780753036	5.43909904	5.019857358	5.695434894	6.051846947	5.557838645	5.004084586	5.922223068	4.641273386	5.632209248	3.476579077	4.748691544	5.104662715	6.014341418	5.87631999	3.856674852	4.005979959	5.458541762	4.826447133	5.530080441	4.61894269	4.657058686	6.544794578
ABCA1	NA	5.465226276	5.564016234	5.131721711	5.029196297	5.144741485	5.392150605	5.134588002	5.726479445	5.301815816	5.422210925	5.527686124	5.231374126	5.350233211	4.886612781	5.331626177	4.270495784	4.966009955	5.067881377	5.801981409	5.031660857	5.337240231	5.350485166	5.826608435	5.32113238
ABCA11P	NA	3.824284091	3.56671182	4.030694535	4.73532087	2.653241965	4.105943698	4.007333185	4.833898116	4.314817885	4.676560182	2.954910279	3.563882964	4.515245478	2.517696473	4.662495253	4.287715955	4.275276265	4.705920089	4.091005661	4.90897164	2.975529566	4.242764567	4.91338991	4.158883083
ABCA12	NA	4.041295341	4.342505877	3.988984047	3.935739532	4.050044303	4.025351691	4.406719247	3.054001182	3.054001182	3.78191432	4.928701911	4.919250732	5.347107531	2.197224577	4.027135813	3.131136911	4.209160237	2.517696473	3.575150689	4.361823927	3.850147602	5.125153748	3.790984677	4.511957804
ABCA2	NA	3.590172987	3.466207777	3.790612209	4.074877906	4.363959259	3.660937397	3.255427273	4.210673658	3.367333112	3.387898549	3.851209866	3.598545467	3.71071845	4.070990845	3.481187592	3.245008095	3.605146241	3.69034728	3.536631149	3.71602614	3.69731839	3.645964665	4.009713646	3.57591216
ABCA3	NA	4.043051268	4.591071262	3.788724789	3.552486829	4.498697941	3.394508394	4.882801923	5.341855669	4.401829262	4.220977213	3.349904087	5.002603122	4.737951297	4.028916757	4.096009842	3.277144733	3.157000421	3.686376324	3.306886702	5.029784113	4.621043535	5.104732617	3.650658241	3.430756184
ABCA4	NA	3.269568939	4.952299717	4.421247348	4.745801316	3.563882964	3.883623531	3.864931398	3.632309103	3.55820113	3.532225644	3.430756184	4.774068722	4.416428061	3.850147602	3.517497837	3.526360525	3.616308761	3.970291914	3.678829118	3.303216973	4.127134385	3.871201011	2.610069793	3.277144733
ABCA5	NA	6.409516771	6.338594078	5.05560866	3.899950424	5.404477562	5.470588587	6.226141334	4.930870326	5.236441963	5.780434826	5.567580853	5.161351511	5.398162702	5.26837349	5.885270351	5.068904202	4.772378105	6.106131622	5.362699625	5.507361993	4.963543687	4.516338972	5.731073335	4.917056947
ABCA6	NA	4.287715955	4.398146017	4.034240638	4.200204953	2.766319109	3.906004933	4.039536326	4.96144505	2.079441542	3.310543013	3.394508394	3.430756184	3.363841595	3.360375387	2.219203484	4.206184044	2.557227311	2.617395833	3.749504076	3.446807893	2.451005098	4.175924549	3.62700405	2.923161581
ABCA7	NA	5.547518452	5.550631295	5.171619714	6.350362019	5.545567993	5.832468816	5.181221595	4.882801923	5.353278925	5.341376856	5.257495372	5.668500661	5.700777966	5.334649296	5.669880923	5.192401141	5.187385806	5.924790414	5.355642433	5.641552398	5.70511492	5.773308537	5.796057751	5.304299438
ABCA8	NA	4.85903691	4.924350925	4.700480366	4.597138014	5.516247351	5.441118165	4.723841716	7.052894045	6.196240441	6.378935392	4.939497266	3.826465117	5.185148668	5.007965066	4.42604352	6.064250217	3.56671182	4.012772909	5.668500661	4.758749274	5.6337176	6.731614581	3.487375078	5.69675786
ABCB1	NA	4.373238129	4.072439727	4.062165664	3.36729583	4.051784948	4.472780998	4.484131858	4.855928904	5.274024674	4.53044664	4.678420648	4.941642423	4.928701911	4.079230924	4.656813419	4.443827036	4.333361463	4.604169686	5.287761853	4.437934267	4.312140507	5.013298412	4.467056884	3.686376324
ABCB11	NA	2.032715276	2.620238183	3.64525898	2.938265287	2.535394608	2.568310814	3.198331476	2.053548123	3.567429489	2.832520823	3.027876518	2.617102711	2.534640745	2.720862415	3.504419833	2.690524382	2.763045093	2.78816391	2.728215805	2.873963472	2.115238368	2.523001219	2.799210979	3.429618539
ABCB4	NA	1.931521412	3.481240089	3.811097087	3.955082495	3.602776755	4.424846632	1.840549633	4.044804117	3.887730313	2.901421594	3.772760938	3.471966453	4.141546164	2.459588842	3.020424886	4.238444906	3.374168709	2.610069793	3.879499814	2.128231706	4.21508618	4.072439727	2.721295428	2.681021529
ABCB6	NA	4.396903872	4.126311648	4.373504417	4.989293802	4.54142847	4.573126475	4.25820144	3.973897607	4.359776321	3.8484244	4.368646056	3.921217938	4.416428061	4.667545538	3.926229263	3.881701944	4.746734924	3.967122402	4.45521593	3.908329396	4.285340438	3.98980128	4.669303465	3.929895731
ABCB7	NA	5.566051801	5.361292166	5.195176608	4.075841091	5.100475998	5.507767591	5.85018896	5.711750644	5.766757274	5.512621969	5.77019424	4.879767019	5.324472324	5.242275976	5.846727751	5.745883651	5.265277512	5.925591803	6.232840867	5.581238122	5.097424424	5.749711407	5.666080607	6.067962518
ABCB8	NA	3.538056564	2.653241965	3.339321978	3.765840495	3.063390922	4.697749367	4.228292535	2.493205453	2.747270914	3.795489189	3.086486637	4.300002799	3.384390263	4.70682384	4.178992036	4.099332104	2.995732274	3.265759411	2.939161922	2.714694744	3.210843653	3.910021003	3.335769576	2.939161922
ABCB9	NA	3.851740805	4.119817846	4.203188913	4.359695451	4.351005814	4.157840738	3.637489197	3.858281622	3.941336673	4.228026844	3.580034604	3.850240395	4.307296049	4.282156695	3.924244418	4.059100544	4.508183599	5.343856166	3.760323198	3.431201101	4.202580792	4.829692953	4.579013805	3.766980527
ABCC1	NA	6.423908829	6.598695331	6.886271961	6.586391079	6.432680516	6.522506295	6.378013528	6.58702604	6.221324703	6.374014612	6.955185182	6.897042245	6.730607191	6.440352948	6.481036487	6.51328448	5.799610981	6.773570791	5.904762182	6.257180349	6.647211564	6.493527249	6.776963547	6.974336166
ABCC10	NA	6.259169601	6.210506017	6.564545895	6.859218175	6.483883993	6.536361148	6.222600006	5.832009739	6.376312886	6.074685958	6.343240788	6.433148019	6.171529522	6.476465076	6.21206846	6.467486377	6.357774605	6.128193966	6.438043865	6.311443207	6.393202604	6.571803483	6.402513691	6.443124446
ABCC2	NA	2.797281335	3.520460802	3.117949906	2.727852828	2.944438979	2.370243741	2.028148247	1.704748092	1.609437912	1.62924054	3.122364924	4.58394655	2.63188884	2.014903021	3.443618098	3.299533728	2.451005098	3.914021008	5.309751744	2.00148	1.704748092	2.694627181	2.660259537	2.208274414
ABCC3	NA	5.139864528	4.602540652	5.114825335	4.784192132	5.757242507	4.560457756	5.276147855	3.090742575	6.180792811	6.092072015	6.13984603	4.075229356	4.648964035	5.6243172	6.343121684	6.410810419	6.08932943	5.783076983	6.067838424	5.99767636	5.695020882	5.900852073	6.480023425	6.5191166
ABCC4	NA	4.561218298	4.684905154	4.629862799	4.412798293	4.892602227	4.972587226	4.232656178	6.040016588	5.783209608	5.575949103	5.018603464	5.165928179	5.197391448	5.132262782	5.106551351	5.001258132	5.265794175	5.443283137	5.455748374	5.197944392	4.498697941	5.413875707	4.039536326	5.320078858
ABCC5	NA	6.493451222	6.696540299	6.673677163	6.252866811	6.171700597	6.848642014	6.214408078	6.3982621	7.116718767	6.929027414	6.892032319	6.163104256	5.923453336	6.766191715	6.719013154	6.944183636	6.350536616	6.231071824	6.090630919	6.100094712	6.164787403	6.972606251	6.196647773	6.893352049
ABCC6	NA	3.008313173	3.278496181	3.393778089	3.419118253	3.509286898	3.169113829	2.981812165	3.057898007	4.597248062	4.142865308	3.610680718	3.396490929	2.909367402	3.76130948	3.337015635	4.384106603	4.320687877	4.630802446	3.863788964	4.430532543	3.105749496	3.47536887	3.962413792	4.375594643
ABCC8	NA	2.841041024	2.262088513	3.144449456	3.143557395	2.75703685	2.555541883	2.392076421	2.607467879	2.192511072	2.388088991	2.621190867	3.263803489	2.906363281	2.380317144	2.590189034	2.205792718	3.037351073	2.529077405	2.463844187	2.256856288	2.737016912	2.723088435	2.786722986	2.660772746
ABCC9	NA	3.782799299	4.030404087	3.807770769	3.89536074	3.944228175	3.005697648	3.537537863	4.472822684	4.089649095	4.229878609	3.341151623	3.561662071	3.363853513	3.473722464	3.682523405	3.246398272	4.243348699	3.630195292	3.461654417	3.296637002	3.66441865	4.185987637	3.289449826	3.983766624
ABCD1	NA	3.780196458	4.365900609	4.516658378	4.417101486	4.319082901	4.448061328	4.359586787	4.296821495	4.511631763	4.939415532	4.512228239	4.375934989	4.378668508	4.25610339	3.543640633	4.300657783	5.512047662	5.604667969	4.548055881	4.376468512	4.196132344	4.788848234	4.426282411	4.604944635
ABCD2	NA	3.790984677	3.363841595	3.790984677	4.235554731	2.928523524	4.325456283	4.347693956	3.295836866	3.618993327	3.881563798	3.824284091	1.808288771	3.222867846	3.36729583	3.157000421	3.740047741	3.899950424	3.873282177	3.594568775	3.747148362	1.871802177	3.321432413	3.94931879	2.844909384
ABCD3	NA	7.828436359	7.902857191	6.847899112	5.997446619	6.629363253	7.229476394	7.210375224	7.114200181	7.674663943	7.52897672	7.571679601	6.087456313	6.514119923	6.614591543	7.92984643	7.345041999	6.746177083	6.972418792	7.547237935	7.186220002	6.67241262	6.637651139	7.286054719	7.598248942
ABCD4	NA	4.579821871	4.313498909	4.929676915	4.277105741	4.76027025	4.305243397	4.717225728	4.853198332	4.918661054	4.757677556	4.696821557	4.156654001	4.401453664	4.819283236	4.806701298	4.741609963	4.543217818	4.481560915	4.441163925	4.534966986	4.28081552	4.568297398	4.613069458	4.611600657
ABCE1	NA	6.394986384	6.292487295	5.572679642	5.668538457	5.926696853	5.939765825	6.411624759	6.15129069	6.36076032	6.170335203	6.302840317	6.115287108	6.526600403	5.949598984	6.28085443	5.867947821	6.265310465	6.261901821	6.342040203	6.557069142	5.961269478	6.116423399	6.384180928	6.436935624
ABCF1	NA	7.133136325	7.287902579	7.382062136	7.270243294	7.221689723	7.250706482	7.135766962	7.456165663	7.597747488	7.254107123	7.378133838	7.653826923	7.437088574	7.740273021	7.241151361	7.561641746	7.855234552	7.936123914	7.57809432	7.661197615	7.312486785	7.653305138	7.532088144	7.690788866
ABCF2	NA	5.058781576	4.828104857	4.719898914	5.366586016	4.620490877	4.842100992	4.929749986	5.390204404	4.279174125	4.65986076	4.687706709	4.736245564	4.73968639	4.853623382	4.141460196	4.251037388	4.888163511	4.603158358	4.045313712	4.230417153	4.572468877	5.595846232	4.814529723	4.931387472
ABCF3	NA	5.871272362	5.766444236	6.140961558	6.547645873	5.949860997	5.944896911	5.589493328	5.621487232	5.695414225	5.811739616	5.836271658	6.00635316	5.972536537	5.981666705	5.388615005	5.90345267	6.321667171	5.943586467	5.958683058	5.41876352	6.16057421	5.7330176	6.188469441	5.80121162
ABCG1	NA	4.262254185	4.266661207	5.768937705	6.140856593	5.56686104	4.451409396	4.438078856	5.150255902	5.974262437	5.748539485	5.748069275	4.623760272	5.286651066	5.746380154	5.291855794	5.342965249	5.490962172	5.49136574	5.992012497	5.581877149	5.746565419	5.814518931	5.924625953	5.102954729
ABCG2	NA	4.976043849	5.219815138	4.95088529	5.035002651	4.279440046	5.12812199	4.96284463	5.12812199	5.97126184	6.120297419	5.669536036	4.056988776	4.58394655	5.525054453	6.272688309	6.494358801	5.009968405	6.109914027	6.213006817	5.067015628	4.864452784	5.052416828	5.08202529	5.909440712
ABCG4	NA	5.444147815	5.358000369	6.048081148	6.230284578	5.466370952	5.48272009	5.654242029	4.579852378	5.173320876	4.82350218	5.96229317	5.776103136	5.29681624	5.710427017	5.6563414	5.241747015	5.144583267	5.038250461	5.152134856	4.833898116	5.559527119	4.733563401	5.190732156	4.925803359
ABCG5	NA	2.240709689	3.713572067	2.928523524	3.933784497	2.066862759	1.568615918	1.704748092	3.384390263	6.131009075	2.104134154	3.777348102	1.902107526	3.716008122	3.681351188	3.835141961	4.169761202	5.78751069	5.82126917	4.470495283	3.730501129	2.772588722	1.252762968	2.332143895	4.97535348
ABHD10	NA	6.503689192	6.18538524	6.047608558	6.238910391	6.408199247	6.241639437	6.259198982	6.522533877	6.590987626	6.350536616	6.302618976	5.910254492	5.842384324	6.346863678	6.487379558	6.509514016	6.991820654	6.319688575	6.824591038	7.177858749	6.423896103	6.471263792	7.165802546	6.670259221
ABHD11	NA	6.500238067	6.234018492	6.395094639	6.852665313	5.862494166	6.453152446	6.218998447	5.857075644	7.73078972	6.944087208	6.998235632	6.339123973	6.089498287	6.799167339	6.963662911	6.800949275	8.752407596	8.238272625	8.060982008	7.315750517	6.273819958	6.263207768	7.379569768	7.100687015
ABHD14A	NA	5.410752796	5.630135934	5.848748245	6.264159877	6.098748212	5.899075098	5.460861296	5.826589904	5.950642553	5.593223284	5.626541394	5.467215903	5.811440349	6.501439809	5.586499314	6.115229654	6.51010952	5.721949779	5.591360045	5.519859636	5.873525249	6.451102134	5.932510404	6.067730903
ABHD2	NA	5.540606472	4.592939898	4.924321958	4.26651043	5.867584808	5.24076466	4.453094967	5.418099104	6.497815228	6.438180154	5.835953732	4.914937723	5.475268811	6.355783983	6.343365942	6.226847608	6.199203233	5.301447053	6.607706865	5.779374501	5.710754498	4.993071176	6.146556281	6.780250171
ABHD3	NA	5.938591058	6.363028104	4.605170186	5.29681624	5.615679593	6.21080086	6.52649486	4.468204331	6.262254752	7.197210778	6.361820478	4.449685283	5.609105428	4.989071116	7.283173466	6.519589668	4.793308128	5.29179615	5.913503006	7.529943371	6.00635316	5.020585625	6.388897484	7.98653894
ABHD4	NA	6.771018755	6.692455882	6.87853242	7.252266544	6.643789733	6.779467259	6.359746864	6.568920253	6.944472862	6.50623239	6.608135569	6.785135565	6.509216131	6.698144742	6.512636463	6.393088956	6.865473887	6.494812281	6.507128448	6.468474822	6.652346767	6.698391351	6.772279139	6.224756429
ABHD5	NA	5.927824246	6.085115066	5.473298565	5.067482711	5.168749998	5.833434559	5.921378376	5.081221663	5.300938595	5.325997838	5.763993123	4.84912457	5.551078326	4.544877309	5.818653124	5.069246498	5.002539379	4.147845415	4.224024885	5.010097124	5.539505574	4.991567201	4.815989807	4.72170288
ABHD6	NA	4.573415138	5.094814576	4.787798192	4.251634811	4.788197794	4.698357589	4.980207261	4.640377071	4.843342023	4.550115721	4.716122193	4.704360677	4.644325603	4.566313934	5.00586258	5.215198999	4.353252324	3.830576894	4.523798864	4.440464434	4.524174502	4.606349287	4.453599031	4.877136408
ABHD8	NA	2.821378886	3.077312261	2.351375257	3.384390263	3.210843653	2.054123734	1.987874348	3.563882964	2.379546134	3.015534901	2.646174797	2.2300144	3.054001182	3.198673118	1.987874348	1.704748092	3.45946629	4.198704578	2.63905733	3.543853682	2.862200881	4.697749367	3.086486637	2.862200881
ABI1	NA	7.616716208	7.416622832	6.167009133	5.950028535	6.488536693	6.945639889	7.450309586	6.252110107	6.397656599	6.661948121	6.983304452	6.225240955	6.747658556	6.22326343	7.234744696	6.531171403	5.51283689	6.08807559	6.557222656	6.768291559	6.494344307	5.940419737	6.161280155	6.762532502
ABI2	NA	4.809650907	4.534576947	4.724001139	5.000571049	4.756767953	4.690784276	4.335832067	4.862261937	4.801316042	4.846743848	4.680201602	4.803448797	4.689518973	4.486351063	4.785196204	4.557564392	5.726355132	4.959054662	4.285257365	5.075514155	4.75573749	4.688267404	5.467728575	5.04717004
ABI3BP	NA	2.727852828	4.107589789	3.17805383	3.161246712	4.462453884	1.85629799	2.501435952	4.234106505	1.648658626	4.110873864	3.139832618	2.351375257	1.902107526	2.282382386	3.673765816	3.686376324	4.229749199	1.481604541	3.577947893	4.189654742	2.370243741	2.803360381	4.210645018	2.054123734
ABL1	NA	6.067035734	6.323462503	6.716352613	6.11368218	6.501439809	6.379783496	5.93462961	7.925012889	7.148031229	7.143696589	6.452364362	6.637126961	7.120201821	6.905953657	5.98720549	7.104965448	7.184022449	7.172194313	6.808818531	6.568639551	6.995491393	7.414392142	6.103005922	6.406549899
ABL2	NA	4.189654742	5.060694494	5.49388415	5.11679549	5.296315364	5.067645549	4.014579594	5.07704706	5.160777953	5.288771954	5.175584601	5.59805152	4.796616651	4.783316371	5.102302483	5.029784113	4.354141431	4.018183201	5.492238059	5.267342562	4.508659286	5.594339563	4.826712456	5.040841136
ABLIM1	NA	8.328780439	8.410876642	7.58791786	7.277718675	7.622698028	7.4948169	8.351409203	7.139605287	6.554694385	7.239940645	7.693166333	7.318477653	7.562262748	7.072254723	7.969146691	7.313187213	6.638648955	5.977049679	6.564395299	6.423796659	7.653592707	5.93343396	6.446877134	7.584468583
ABLIM3	NA	6.407869595	7.193535544	6.656469422	6.557630266	6.516045136	5.829239692	5.884435974	6.8281708	5.481055503	5.78105211	6.067267511	5.567580853	5.977365623	5.721622393	6.099197247	5.739149618	4.919980926	3.010620886	5.061961921	6.352977768	6.614323375	5.6337176	5.042779747	4.615120517
ABO	NA	4.318588234	4.107488741	4.575249512	4.764272473	3.517716294	4.349109902	3.759674041	3.771121421	3.500800471	3.947312116	4.189212613	4.19446589	3.497433378	4.148111959	3.984597724	3.882620912	4.243447564	3.499404032	3.379394282	3.745424635	4.081985948	3.107775619	4.487835164	3.759662336
ABP1	NA	5.620038481	4.102643365	5.02585226	5.370172804	6.576608835	4.102643365	5.397257314	3.658420247	7.87405448	8.068966709	7.355577203	5.582744146	5.977872594	7.182883885	8.225235324	8.30137276	8.200590247	7.726741844	8.386560451	7.571267654	6.076265149	7.873635855	5.18178355	8.471840114
ABR	NA	6.975650783	6.789865833	6.859612481	6.904112048	6.969214061	6.823697705	6.822450345	6.411154623	6.448006683	6.452284621	6.528254556	6.187707164	6.163720423	6.622501169	6.729277787	6.843650291	5.418511862	6.062163056	5.262204437	6.245522494	7.017040012	6.630458991	5.589206134	6.586334511
ABT1	NA	6.434546519	6.154220948	6.338947373	6.561878962	6.265301213	6.511448109	6.438391445	6.06819408	5.998936562	5.807541709	6.064250217	6.225152312	6.338417384	6.514564532	6.106354513	6.422272463	5.834518297	6.165417854	6.760993898	5.399519247	6.390743896	6.225152312	6.067730903	6.421784856
ABTB2	NA	5.875492371	5.914853445	6.334167333	6.150815965	5.842674474	5.689007189	6.001662372	5.108366783	6.062621741	5.669536036	6.298949247	5.206202078	5.699104885	6.077871575	6.149109116	5.849612923	5.972536537	5.781669013	5.722277057	5.53772789	5.965633787	5.253842876	5.31861007	5.862209711
ACAA1	NA	7.254346794	7.322260917	7.454227745	7.951300343	7.094996161	7.216297532	7.20683249	6.350151737	6.941362685	6.772748477	6.96800894	7.14825643	7.02552158	6.839469698	7.025737742	7.208619705	6.808841322	6.775999941	6.465848736	6.351128509	7.146904303	6.614251283	6.86351669	6.881562971
ACAA2	NA	5.021502341	4.687159867	5.452854581	5.039694271	4.580178899	5.0826466	4.914943918	5.719428654	5.85146968	5.694826464	5.62225758	5.738443817	5.446419197	6.054947998	6.046963806	5.952070531	5.745047614	5.450605398	6.121564957	5.200253352	5.577034357	5.753007219	5.776358104	6.349757923
ACACA	NA	5.340240867	5.651839204	5.760102949	5.450079237	5.682945949	5.706424648	5.635864658	5.294998879	5.172279257	4.957635428	5.202796432	6.167520249	5.649305412	5.0297223	5.340651058	5.703445139	6.61946796	6.05090543	3.960077935	4.981237771	5.448930829	5.778895684	5.397173825	4.429660417
ACACB	NA	4.069640806	4.254217983	4.43840184	4.329886406	4.756883419	4.238359073	4.136929283	6.218227985	5.140381951	5.415494658	4.631941075	4.523959343	4.256860351	4.14891361	4.401534587	4.858080013	4.43451198	5.889807563	5.028817348	4.798243905	4.606248152	5.508434903	5.046471802	4.41018768
ACAD10	NA	5.722931293	5.330784557	5.975081068	6.087683405	5.239098007	5.68833037	5.627980761	5.461286195	5.551407994	5.48022217	5.830121397	5.360822572	5.50003297	5.731397642	5.816515745	5.522260598	5.911338503	5.80814249	5.726521962	5.248601774	5.184588601	5.294811227	5.864766894	5.631211782
ACAD8	NA	5.959715849	6.025865974	6.250168274	5.981161654	5.91215074	5.972026853	6.061923011	5.770817876	5.96870756	5.68833037	6.075805696	5.295312858	5.509793113	5.808442745	6.03691581	6.13491533	5.678806489	5.906178953	5.249652195	5.818598149	5.941223331	5.678806489	5.837147187	5.483551345
ACADL	NA	2.700211295	2.998002114	3.781340623	3.999167698	4.058521965	2.701428773	2.671836534	3.027864797	2.757157725	2.852540815	1.859219128	2.956413551	2.443668539	2.027368554	3.329698239	3.761881101	2.651403636	2.646225094	3.772184572	2.365989516	2.600076559	2.674077301	2.735083812	2.611257827
ACADM	NA	8.039189648	7.376633275	6.639352821	6.021023349	6.650149674	7.13297667	7.734733807	7.318274261	6.731614581	6.83658146	7.167886282	5.463407986	6.247268881	5.679831254	7.176865966	6.611099732	5.950902935	5.388615005	6.254597747	6.957877888	6.911448451	6.353848166	5.675383	7.216709487
ACADS	NA	5.168777995	5.48022217	5.580107113	6.110580028	5.609838028	5.078293943	4.943782987	5.743003188	6.243778476	5.823637436	5.853925133	5.465948208	5.835395361	5.861355862	6.006845649	6.361820478	5.139321635	6.491633591	5.935687532	5.314682721	5.541263545	5.781669013	6.478356021	5.978632568
ACADSB	NA	5.333201768	5.359882722	3.703768067	2.753660712	4.394449155	4.758749274	5.011301739	4.798266816	4.469350463	4.446174454	4.371976299	3.295836866	2.928523524	4.120661871	5.262690189	4.25561271	3.591817741	4.718498871	3.875359021	3.826465117	4.364371699	3.929862924	4.191168747	4.65396035
ACADVL	NA	7.775317845	8.160461103	8.565411764	8.544633246	8.202509843	7.93701749	8.215331055	7.56252539	7.828953947	7.549345973	7.964642388	7.586549953	7.879064359	8.009496002	7.998839301	8.095354769	7.600552398	7.718863257	7.45974204	7.62544872	8.228070081	7.481555702	8.024993032	8.055157732
ACAN	NA	4.420987187	5.054894091	5.308452718	5.39880021	4.954570432	4.860667945	4.637076582	4.610495621	4.955017095	4.568861193	5.057453215	5.517137921	5.39126707	5.08402863	4.756331368	4.733707633	5.515658821	5.362233481	4.770372944	4.951248065	5.249226714	4.755810641	5.091283949	4.891272653
ACAP1	NA	3.248266817	3.063696532	2.965126908	3.222304045	2.560491676	2.447499975	3.346091497	3.084177357	2.847286768	2.577367819	3.123169648	3.519939716	3.814793547	3.821132554	3.160833585	3.348146616	2.463735526	5.185552293	4.662534039	3.02368609	2.983355341	2.994405515	3.957951481	2.985426797
