Feature	Description	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Barrett's Esophagus_1	Barrett's Esophagus_2	Barrett's Esophagus_3	Barrett's Esophagus_4	Barrett's Esophagus_5	Barrett's Esophagus_6	Barrett's Esophagus_7	Barrett's Esophagus_8	EAC_1	EAC_2	EAC_3	EAC_4	EAC_5	EAC_6	EAC_7	EAC_8
SMEK1	NA	4.764629725	4.525131582	3.504388197	3.887024359	4.034239072	4.034835476	3.902778061	4.009617217	4.264263362	4.401609947	4.232250512	3.461814314	3.89569529	4.111350659	3.765156836	3.820095239	3.397186896	3.983938094	4.278663475	3.735351327	3.64935785	3.675710675	4.259745275	4.262130081
SMEK2	NA	4.160444364	3.839452313	3.914021008	3.532225644	4.072439727	3.749504076	4.216562195	3.96081317	4.265492818	3.471966453	3.981549068	4.007333185	4.226833745	3.27336401	4.034240638	3.634951112	4.659658371	4.449685283	4.391976966	4.535820108	3.711130063	4.535820108	4.605170186	4.333361463
SMG1	NA	4.102643365	3.972176928	3.5085559	3.56671182	2.721295428	2.791165108	4.223909767	4.096009842	3.903990834	2.028148247	4.295923936	3.377587516	3.987130478	3.46885603	4.249922794	2.459588842	3.735285827	3.977810746	3.935739532	3.683866912	1.458615023	2.772588722	3.321432413	3.864931398
SMG5	NA	5.323052333	5.015177269	4.708103771	5.562322427	4.359266377	5.147392384	5.096162229	5.697635848	5.604621026	5.34210939	5.330370174	5.700023883	4.754942404	5.10426681	4.634698824	5.158539278	6.702750495	6.061992925	4.896228831	5.258797251	5.451958603	5.809223934	5.866810611	5.641499229
SMG6	NA	3.91214899	3.970275893	4.400527739	4.090334077	4.324766437	4.110873864	3.628867933	4.570327916	4.188102749	3.666844729	4.537666803	3.749946786	4.610626803	3.878927462	4.331727849	4.167835657	3.694479229	4.814775291	4.373641084	4.112073713	3.823011999	4.577693351	4.627097282	3.846521994
SMG7	NA	5.639109798	5.550680362	5.677322897	5.650097576	5.264630988	4.921178741	5.333733782	5.180203039	5.515754454	5.246881221	5.340947655	5.524178213	5.368536979	5.127774951	5.099530096	5.184037465	5.140410514	5.395422786	5.097484447	4.823711624	5.07380802	4.847385337	5.36778078	5.054362871
SMNDC1	NA	6.567515956	6.77730485	6.290272002	5.918625001	6.365782926	6.847792938	6.689350482	6.885100588	6.710523109	6.71949613	6.844389403	6.338594078	6.56074774	6.553933404	6.908854674	6.704169227	6.410996912	6.456298587	6.890405641	6.459121675	6.4314921	6.647039655	6.588513738	6.724553335
SMO	NA	5.953243334	5.849900983	5.995705541	6.19215797	6.12730577	5.627980761	5.593967609	5.206750173	4.962145085	5.378052335	5.792708684	5.657389435	5.728800238	5.826000107	5.497577977	5.230573714	5.087596335	5.521460918	5.717356595	5.161924742	5.991964422	5.022563865	5.760162808	5.493061443
SMOX	NA	4.05668337	4.551370899	4.821570226	4.941942078	5.075645273	4.136101362	4.296517544	3.853724636	4.570394387	4.308867558	4.471263796	5.238228322	4.942197472	5.228942876	4.498623078	4.697546153	4.627087711	4.75853482	4.388122141	4.274051269	4.619793252	4.096340573	4.400522469	4.075294558
SMPD1	NA	5.098632095	4.846744843	5.633151116	5.053537209	4.871338581	5.107221981	4.67757582	4.997532174	4.82934676	4.687857976	4.774846743	4.067999322	4.186452901	4.539907425	5.135357144	4.484906149	4.287223272	3.841883045	4.372746769	4.509795776	4.896668371	4.394728636	4.275159944	4.552506361
SMPD2	NA	5.712411801	5.368309738	6.241639437	6.767343125	5.933570569	5.765504533	6.190315406	3.921973336	5.231643233	5.546738725	5.814727369	6.022478601	5.321056854	5.847882819	6.021266038	5.530222424	5.804532378	6.172952423	5.96409335	4.637637376	5.994460056	4.393213824	4.907494535	5.394990254
